Año;Trimestre;Provincia;Mbps (Media de bajada);Trimestre proximo
2020;3;Capital Federal;63.80852025607172;67.32513676879374
2020;3;Catamarca;36.540436607329845;37.6500877273544
2020;3;Chaco;30.802726948564217;32.45204676418101
2020;3;Chubut;7.402074441844787;7.383087626414736
2020;3;Córdoba;33.51119497419789;35.120601241883946
2020;3;Corrientes;23.851523971242955;25.446700896630592
2020;3;Entre Ríos;22.432598646206184;24.05327825306045
2020;3;Formosa;18.282832069430402;19.6983490087788
2020;3;Jujuy;21.910419686869954;25.20639328416149
2020;3;La Pampa;10.697630905402091;9.875605170860927
2020;3;La Rioja;12.194703767058197;12.534655980598345
2020;3;Mendoza;10.18749103459563;11.093171319457166
2020;3;Misiones;24.141761872521517;24.956617779680364
2020;3;Neuquén;31.46090402703376;33.90786486677393
2020;3;Río Negro;21.077778703258762;21.636719189849995
2020;3;Salta;25.261155924027737;25.322439650744734
2020;3;San Juan;6.027864793582682;6.412867397953183
2020;3;San Luis;20.84992813378867;21.252954082189127
2020;3;Santa Cruz;6.649363712026633;7.492108628119051
2020;3;Santa Fe;25.690941341268072;27.294352446215623
2020;3;Santiago Del Estero;10.879017270659741;11.280765527511996
2020;3;Tierra Del Fuego;8.506676055475614;8.486806949337868
2020;3;Tucumán;34.835801698615526;36.442246829152964
2020;2;Buenos Aires;45.66197363212277;48.37662390811511
2020;2;Capital Federal;60.4844973584038;63.80852025607172
2020;2;Catamarca;34.92595642857143;36.540436607329845
2020;2;Chaco;27.952284674364286;30.802726948564217
2020;2;Chubut;7.605487984559083;7.402074441844787
2020;2;Córdoba;30.987577637139466;33.51119497419789
2020;2;Corrientes;22.15030606257576;23.851523971242955
2020;2;Entre Ríos;20.448621178442586;22.432598646206184
2020;2;Formosa;16.870258993114398;18.282832069430402
2020;2;Jujuy;15.864013631862552;21.910419686869954
2020;2;La Pampa;8.028862255598405;10.697630905402091
2020;2;La Rioja;11.669110961977259;12.194703767058197
2020;2;Mendoza;9.274562732094155;10.18749103459563
2020;2;Misiones;22.560122617583183;24.141761872521517
2020;2;Neuquén;29.100147623878513;31.46090402703376
2020;2;Río Negro;19.679596047283173;21.077778703258762
2020;2;Salta;22.55853618795662;25.261155924027737
2020;2;San Juan;6.308614963196474;6.027864793582682
2020;2;San Luis;21.02062693689071;20.84992813378867
2020;2;Santa Cruz;6.593202418178028;6.649363712026633
2020;2;Santa Fe;23.925791608984095;25.690941341268072
2020;2;Santiago Del Estero;10.411619106122004;10.879017270659741
2020;2;Tierra Del Fuego;8.128329395457266;8.506676055475614
2020;2;Tucumán;32.70453443718797;34.835801698615526
2020;1;Buenos Aires;45.18128807375552;45.66197363212277
2020;1;Capital Federal;58.70568296242247;60.4844973584038
2020;1;Catamarca;29.132225012939607;34.92595642857143
2020;1;Chaco;25.942049334121737;27.952284674364286
2020;1;Chubut;7.117047781865397;7.605487984559083
2020;1;Córdoba;29.394787835061326;30.987577637139466
2020;1;Corrientes;20.538999274943325;22.15030606257576
2020;1;Entre Ríos;19.029765335057498;20.448621178442586
2020;1;Formosa;15.697352607415109;16.870258993114398
2020;1;Jujuy;14.14492205715465;15.864013631862552
2020;1;La Pampa;7.291757720474826;8.028862255598405
2020;1;La Rioja;7.962418947150687;11.669110961977259
2020;1;Mendoza;8.440867710216997;9.274562732094155
2020;1;Misiones;22.148213068436263;22.560122617583183
2020;1;Neuquén;27.76828207897622;29.100147623878513
2020;1;Río Negro;19.06030056406124;19.679596047283173
2020;1;Salta;21.425047243902736;22.55853618795662
2020;1;San Juan;6.036984591484099;6.308614963196474
2020;1;San Luis;20.989379744282658;21.02062693689071
2020;1;Santa Cruz;6.417170627364028;6.593202418178028
2020;1;Santa Fe;22.42405677003625;23.925791608984095
2020;1;Santiago Del Estero;10.00053908049476;10.411619106122004
2020;1;Tierra Del Fuego;7.410865837696335;8.128329395457266
2020;1;Tucumán;32.24553094303289;32.70453443718797
2019;4;Buenos Aires;30.769694141005864;45.18128807375552
2019;4;Capital Federal;44.203178670085876;58.70568296242247
2019;4;Catamarca;24.878307670462615;29.132225012939607
2019;4;Chaco;23.37495080016229;25.942049334121737
2019;4;Chubut;6.994113523445059;7.117047781865397
2019;4;Córdoba;26.16228061451293;29.394787835061326
2019;4;Corrientes;19.255411607971407;20.538999274943325
2019;4;Entre Ríos;17.007580897657125;19.029765335057498
2019;4;Formosa;14.525629551519327;15.697352607415109
2019;4;Jujuy;12.959200042804211;14.14492205715465
2019;4;La Pampa;6.526152195693043;7.291757720474826
2019;4;La Rioja;8.000880364029628;7.962418947150687
2019;4;Mendoza;7.785200889987086;8.440867710216997
2019;4;Misiones;20.32034743574273;22.148213068436263
2019;4;Neuquén;26.01988431478295;27.76828207897622
2019;4;Río Negro;17.17699897385603;19.06030056406124
2019;4;Salta;19.08357302283381;21.425047243902736
2019;4;San Juan;6.040171698468491;6.036984591484099
2019;4;San Luis;20.690353422143115;20.989379744282658
2019;4;Santa Cruz;5.207925064069708;6.417170627364028
2019;4;Santa Fe;20.54719701980728;22.42405677003625
2019;4;Santiago Del Estero;9.792201844355846;10.00053908049476
2019;4;Tierra Del Fuego;7.27;7.410865837696335
2019;4;Tucumán;29.87038932431276;32.24553094303289
2019;3;Buenos Aires;25.679380143834067;30.769694141005864
2019;3;Capital Federal;38.71410056071139;44.203178670085876
2019;3;Catamarca;9.293407429459826;24.878307670462615
2019;3;Chaco;19.994668122685404;23.37495080016229
2019;3;Chubut;6.966323588474291;6.994113523445059
2019;3;Córdoba;23.193402364939846;26.16228061451293
2019;3;Corrientes;16.69992255090861;19.255411607971407
